"","Date","DateTime","isCar","Municipality_Code","Reason","Count"
"86",2012-01-05,2012-01-05 23:47:00,"0","1765","Other Reason",1
"87",2012-01-06,2012-01-06 01:26:00,"1","0482","Arson",1
"88",2012-01-06,2012-01-06 03:14:00,"0","1441","Technical Malfunctioning",1
"89",2012-01-06,2012-01-06 08:59:00,"0","1292","Other Reason",1
"90",2012-01-06,2012-01-06 10:52:00,"1","1291","Other Reason",1
"91",2012-01-06,2012-01-06 13:10:00,"1","0123","Technical Malfunctioning",1
"92",2012-01-06,2012-01-06 13:54:00,"1","0180","Other Reason",1
"93",2012-01-06,2012-01-06 15:11:00,"1","0126","Technical Malfunctioning",1
"94",2012-01-06,2012-01-06 15:55:00,"1","2401","Technical Malfunctioning",1
"95",2012-01-06,2012-01-06 16:58:00,"1","1480","Arson",1
"96",2012-01-06,2012-01-06 20:01:00,"0","1447","Other Reason",1
"97",2012-01-06,2012-01-06 22:23:00,"1","1280","Arson",1
"98",2012-01-06,2012-01-06 23:51:00,"0","2462","Technical Malfunctioning",1
"99",2012-01-07,2012-01-07 03:12:00,"1","0180","Arson",1
"100",2012-01-07,2012-01-07 03:50:00,"1","1482","Arson",1
"101",2012-01-07,2012-01-07 04:25:00,"1","1980","Arson",1
"102",2012-01-07,2012-01-07 05:03:00,"1","0581","Arson",1
"103",2012-01-07,2012-01-07 10:54:00,"1","1481","Other Reason",1
"104",2012-01-07,2012-01-07 16:34:00,"1","2321","Technical Malfunctioning",1
"105",2012-01-07,2012-01-07 18:48:00,"1","1785","Technical Malfunctioning",1
"106",2012-01-07,2012-01-07 21:16:00,"1","0643","Other Reason",1
"107",2012-01-08,2012-01-08 00:31:00,"1","1280","Arson",1
"108",2012-01-08,2012-01-08 00:34:00,"1","1283","Arson",1
"109",2012-01-08,2012-01-08 01:16:00,"1","1780","Other Reason",1
"110",2012-01-08,2012-01-08 01:28:00,"1","1283","Arson",1
"111",2012-01-08,2012-01-08 01:36:00,"0","1421","Arson",1
"112",2012-01-08,2012-01-08 02:27:00,"1","1485","Arson",1
"113",2012-01-08,2012-01-08 02:32:00,"1","2183","Other Reason",1
"114",2012-01-08,2012-01-08 03:50:00,"1","2085","Arson",1
"115",2012-01-08,2012-01-08 04:24:00,"1","0136","Other Reason",1
"116",2012-01-08,2012-01-08 05:06:00,"1","0180","Arson",1
"117",2012-01-08,2012-01-08 08:15:00,"1","1264","Other Reason",1
"118",2012-01-08,2012-01-08 16:45:00,"1","0764","Arson",1
"119",2012-01-08,2012-01-08 18:18:00,"0","1290","Arson",1
"120",2012-01-08,2012-01-08 19:04:00,"1","0140","Other Reason",1
"121",2012-01-08,2012-01-08 20:38:00,"1","0764","Arson",1
"122",2012-01-08,2012-01-08 21:32:00,"1","0380","Arson",1
"123",2012-01-08,2012-01-08 22:54:00,"1","0980","Other Reason",1
"124",2012-01-08,2012-01-08 23:12:00,"1","1230","Other Reason",1
"125",2012-01-09,2012-01-09 03:03:00,"0","1766","Technical Malfunctioning",1
"126",2012-01-09,2012-01-09 06:14:00,"1","2404","Technical Malfunctioning",1
"127",2012-01-09,2012-01-09 07:47:00,"1","1415","Other Reason",1
"128",2012-01-09,2012-01-09 08:22:00,"0","1264","Other Reason",1
"129",2012-01-09,2012-01-09 08:28:00,"0","0180","Arson",1
"130",2012-01-09,2012-01-09 09:59:00,"0","2523","Other Reason",1
"131",2012-01-09,2012-01-09 10:06:00,"1","2480","Other Reason",1
"132",2012-01-09,2012-01-09 11:12:00,"1","0183","Arson",1
"133",2012-01-09,2012-01-09 15:57:00,"1","0483","Other Reason",1
"134",2012-01-09,2012-01-09 21:04:00,"1","0380","Arson",1
"135",2012-01-09,2012-01-09 21:43:00,"1","2262","Technical Malfunctioning",1
"136",2012-01-10,2012-01-10 00:33:00,"1","0180","Other Reason",1
"137",2012-01-10,2012-01-10 03:31:00,"1","0180","Arson",1
"138",2012-01-10,2012-01-10 03:56:00,"1","1764","Arson",1
"139",2012-01-10,2012-01-10 07:39:00,"0","1780","Technical Malfunctioning",1
"140",2012-01-10,2012-01-10 10:04:00,"1","1480","Arson",1
"141",2012-01-10,2012-01-10 10:58:00,"1","0483","Arson",1
"142",2012-01-10,2012-01-10 13:40:00,"0","1278","Other Reason",1
"143",2012-01-10,2012-01-10 13:42:00,"1","2180","Other Reason",1
"144",2012-01-10,2012-01-10 15:25:00,"1","2181","Technical Malfunctioning",1
"145",2012-01-10,2012-01-10 17:15:00,"1","1280","Other Reason",1
"146",2012-01-10,2012-01-10 18:56:00,"1","2080","Technical Malfunctioning",1
"147",2012-01-10,2012-01-10 20:29:00,"0","0331","Technical Malfunctioning",1
"148",2012-01-10,2012-01-10 23:36:00,"1","0181","Other Reason",1
"149",2012-01-10,2012-01-10 23:49:00,"1","1292","Technical Malfunctioning",1
"150",2012-01-11,2012-01-11 07:17:00,"1","1257","Other Reason",1
"151",2012-01-11,2012-01-11 08:34:00,"0","0780","Technical Malfunctioning",1
"152",2012-01-11,2012-01-11 12:11:00,"1","2081","Other Reason",1
"153",2012-01-11,2012-01-11 13:26:00,"1","1499","Other Reason",1
"154",2012-01-11,2012-01-11 17:42:00,"1","1461","Other Reason",1
"155",2012-01-11,2012-01-11 19:59:00,"0","1480","Arson",1
"156",2012-01-11,2012-01-11 23:03:00,"1","0484","Other Reason",1
"157",2012-01-12,2012-01-12 01:21:00,"1","0136","Other Reason",1
"158",2012-01-12,2012-01-12 09:08:00,"1","2303","Other Reason",1
"159",2012-01-12,2012-01-12 10:41:00,"0","1282","Arson",1
"160",2012-01-12,2012-01-12 19:46:00,"1","1283","Other Reason",1
