"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"41",2012-02-29,2012-02-29 01:05:00,"1","0180","Arson","onsdag",4.7,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
"42",2012-03-03,2012-03-03 22:48:00,"1","0180","Arson","lördag",0.8,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
"43",2012-03-04,2012-03-04 00:41:00,"1","0163","Arson","söndag",-2.7,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
"44",2012-03-04,2012-03-04 00:49:00,"1","0127","Arson","söndag",-2.9,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1
"45",2012-03-04,2012-03-04 01:10:00,"1","0180","Arson","söndag",-2.1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3
"46",2012-03-04,2012-03-04 02:38:00,"1","0180","Arson","söndag",-2.1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3
"47",2012-03-04,2012-03-04 23:03:00,"1","0180","Arson","söndag",-2.1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3
"48",2012-03-06,2012-03-06 19:05:00,"1","0182","Arson","tisdag",-3.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"49",2012-03-06,2012-03-06 19:41:00,"1","0163","Arson","tisdag",-3.9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"50",2012-03-08,2012-03-08 03:10:00,"1","0180","Arson","torsdag",0.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"51",2012-03-09,2012-03-09 23:44:00,"1","0180","Arson","fredag",3.2,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"52",2012-03-11,2012-03-11 03:49:00,"0","0188","Arson","söndag",3.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"53",2012-03-11,2012-03-11 03:54:00,"1","0180","Arson","söndag",4.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"54",2012-03-11,2012-03-11 04:57:00,"1","0180","Arson","söndag",4.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"55",2012-03-11,2012-03-11 05:53:00,"1","0180","Arson","söndag",4.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"56",2012-03-12,2012-03-12 03:11:00,"1","0180","Arson","måndag",7.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"57",2012-03-15,2012-03-15 02:07:00,"1","0184","Arson","torsdag",3.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"58",2012-03-16,2012-03-16 00:01:00,"1","0180","Arson","fredag",4.6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"59",2012-03-16,2012-03-16 02:49:00,"1","0136","Arson","fredag",3.9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"60",2012-03-16,2012-03-16 23:32:00,"1","0180","Arson","fredag",4.6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"61",2012-03-18,2012-03-18 04:25:00,"1","0180","Arson","söndag",5.9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"62",2012-03-18,2012-03-18 23:56:00,"1","0180","Arson","söndag",5.9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"63",2012-03-18,2012-03-18 23:56:00,"1","0127","Arson","söndag",5.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"64",2012-03-21,2012-03-21 03:47:00,"1","0136","Arson","onsdag",7.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
