Date,Time,Type_of_Vehicle,Municipality_Code,Municipality_Name,Type_of_Municipality_Code,Type_of_Muncipality,Reason,Year,Quarter,Month,Day,Weekday,Hour,Minute,Region_Code,Week,Holidays,Christmas_Holidays,Sport_Holidays,Easter_Holidays,Summer_Holidays,Autumn_Holidays,Temperature,Precipitation
2012-01-03T00:00:00Z,1899-12-31T22:35:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,3,Tuesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,11.9
2012-01-03T00:00:00Z,1899-12-31T23:54:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,3,Tuesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,11.9
2012-01-04T00:00:00Z,1899-12-31T03:57:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,4,Wednesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,2
2012-01-04T00:00:00Z,1899-12-31T07:01:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,4,Wednesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.3,2.9
2012-01-04T00:00:00Z,1899-12-31T17:48:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Other Reason,2012,1,1,4,Wednesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,2.3
2012-01-04T00:00:00Z,1899-12-31T20:26:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,4,Wednesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.3,2.9
2012-01-05T00:00:00Z,1899-12-31T09:02:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Technical Malfunctioning,2012,1,1,5,Thursday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.1,1.2
2012-01-06T00:00:00Z,1899-12-31T13:10:00Z,Personbil,0123,Järfälla,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,1,6,Friday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-2.5,0
2012-01-06T00:00:00Z,1899-12-31T13:54:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,6,Friday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-2,0
2012-01-06T00:00:00Z,1899-12-31T15:11:00Z,Personbil,0126,Huddinge,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,1,6,Friday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-2.4,0.1
2012-01-07T00:00:00Z,1899-12-31T03:12:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,7,Saturday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-4,0
2012-01-08T00:00:00Z,1899-12-31T04:24:00Z,Personbil,0136,Haninge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,8,Sunday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-2.7,0
2012-01-08T00:00:00Z,1899-12-31T05:06:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,8,Sunday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-2.8,0
2012-01-08T00:00:00Z,1899-12-31T19:04:00Z,Personbil,0140,Nykvarn,4,Pendlingskommun nära större stad,Unknown,2012,1,1,8,Sunday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-3.5,0
2012-01-09T00:00:00Z,1899-12-31T08:28:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Arson,2012,1,1,9,Monday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-5.9,0.9
2012-01-09T00:00:00Z,1899-12-31T11:12:00Z,Personbil,0183,Sundbyberg,2,Pendlingskommun nära storstad,Arson,2012,1,1,9,Monday,0,0,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-6.3,0.9
2012-01-10T00:00:00Z,1899-12-31T00:33:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,10,Tuesday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.1,0.4
2012-01-10T00:00:00Z,1899-12-31T03:31:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,10,Tuesday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.1,0.4
2012-01-10T00:00:00Z,1899-12-31T23:36:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,10,Tuesday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.4,0.6
2012-01-12T00:00:00Z,1899-12-31T01:21:00Z,Personbil,0136,Haninge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,12,Thursday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,10.7
2012-01-12T00:00:00Z,1899-12-31T21:12:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,12,Thursday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.2,10.6
2012-01-12T00:00:00Z,1899-12-31T23:55:00Z,Personbil,0136,Haninge,2,Pendlingskommun nära storstad,Unknown,2012,1,1,12,Thursday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,10.7
2012-01-13T00:00:00Z,1899-12-31T00:52:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,13,Friday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.6,0.9
2012-01-13T00:00:00Z,1899-12-31T00:54:00Z,Personbil,0181,Södertälje,3,Större stad,Unknown,2012,1,1,13,Friday,0,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.6,0.8
