"","Municipality_Code","Municipality_Name","Type_of_Municipality_Code","Type_of_Muncipality","Region_Code","Count"
"96","1278","Båstad",9,"Landsbygdskommun med besöksnäring",12,54
"97","1293","Hässleholm",6,"Mindre stad/tätort",12,150
"98","1290","Kristianstad",6,"Mindre stad/tätort",12,250
"99","1286","Ystad",6,"Mindre stad/tätort",12,29
"100","1272","Bromölla",7,"Pendlingskommun nära mindre tätort",12,41
"101","1273","Osby",7,"Pendlingskommun nära mindre tätort",12,44
"102","1256","Östra Göinge",7,"Pendlingskommun nära mindre tätort",12,37
"103","1291","Simrishamn",7,"Pendlingskommun nära mindre tätort",12,31
"104","1270","Tomelilla",7,"Pendlingskommun nära mindre tätort",12,44
"105","1292","Ängelholm",4,"Pendlingskommun nära större stad",12,102
"106","1277","Åstorp",4,"Pendlingskommun nära större stad",12,68
"107","1260","Bjuv",4,"Pendlingskommun nära större stad",12,67
"108","1285","Eslöv",4,"Pendlingskommun nära större stad",12,99
"109","1284","Höganäs",4,"Pendlingskommun nära större stad",12,29
"110","1267","Höör",4,"Pendlingskommun nära större stad",12,63
"111","1266","Hörby",4,"Pendlingskommun nära större stad",12,63
"112","1276","Klippan",4,"Pendlingskommun nära större stad",12,70
"113","1282","Landskrona",4,"Pendlingskommun nära större stad",12,207
"114","1257","Örkelljunga",4,"Pendlingskommun nära större stad",12,64
"115","1275","Perstorp",4,"Pendlingskommun nära större stad",12,31
"116","1265","Sjöbo",4,"Pendlingskommun nära större stad",12,40
"117","1214","Svalöv",4,"Pendlingskommun nära större stad",12,33
"118","1231","Burlöv",2,"Pendlingskommun nära storstad",12,115
"119","1261","Kävlinge",2,"Pendlingskommun nära storstad",12,63
"120","1262","Lomma",2,"Pendlingskommun nära storstad",12,43
"121","1264","Skurup",2,"Pendlingskommun nära storstad",12,40
"122","1230","Staffanstorp",2,"Pendlingskommun nära storstad",12,38
"123","1263","Svedala",2,"Pendlingskommun nära storstad",12,63
"124","1287","Trelleborg",2,"Pendlingskommun nära storstad",12,76
"125","1233","Vellinge",2,"Pendlingskommun nära storstad",12,37
"126","1283","Helsingborg",3,"Större stad",12,690
"127","1281","Lund",3,"Större stad",12,181
"128","1280","Malmö",1,"Storstäder",12,1407
"129","1315","Hylte",5,"Lågpendlingskommun nära större stad",13,32
"130","1382","Falkenberg",6,"Mindre stad/tätort",13,164
"131","1383","Varberg",6,"Mindre stad/tätort",13,157
"132","1381","Laholm",4,"Pendlingskommun nära större stad",13,83
"133","1384","Kungsbacka",2,"Pendlingskommun nära storstad",13,141
"134","1380","Halmstad",3,"Större stad",13,349
"135","1466","Herrljunga",5,"Lågpendlingskommun nära större stad",14,26
"136","1484","Lysekil",5,"Lågpendlingskommun nära större stad",14,59
"137","1452","Tranemo",5,"Lågpendlingskommun nära större stad",14,25
"138","1485","Uddevalla",5,"Lågpendlingskommun nära större stad",14,204
"139","1491","Ulricehamn",5,"Lågpendlingskommun nära större stad",14,69
"140","1492","Åmål",8,"Landsbygdskommun",14,29
"141","1460","Bengtsfors",8,"Landsbygdskommun",14,18
"142","1438","Dals-Ed",8,"Landsbygdskommun",14,18
"143","1427","Sotenäs",9,"Landsbygdskommun med besöksnäring",14,27
"144","1486","Strömstad",9,"Landsbygdskommun med besöksnäring",14,73
"145","1435","Tanum",9,"Landsbygdskommun med besöksnäring",14,43
"146","1499","Falköping",6,"Mindre stad/tätort",14,98
"147","1494","Lidköping",6,"Mindre stad/tätort",14,109
"148","1493","Mariestad",6,"Mindre stad/tätort",14,66
"149","1496","Skövde",6,"Mindre stad/tätort",14,83
"150","1445","Essunga",7,"Pendlingskommun nära mindre tätort",14,24
"151","1471","Götene",7,"Pendlingskommun nära mindre tätort",14,30
"152","1447","Gullspång",7,"Pendlingskommun nära mindre tätort",14,21
"153","1497","Hjo",7,"Pendlingskommun nära mindre tätort",14,18
"154","1446","Karlsborg",7,"Pendlingskommun nära mindre tätort",14,13
"155","1461","Mellerud",7,"Pendlingskommun nära mindre tätort",14,38
"156","1430","Munkedal",7,"Pendlingskommun nära mindre tätort",14,42
"157","1421","Orust",7,"Pendlingskommun nära mindre tätort",14,39
"158","1495","Skara",7,"Pendlingskommun nära mindre tätort",14,73
"159","1472","Tibro",7,"Pendlingskommun nära mindre tätort",14,29
"160","1498","Tidaholm",7,"Pendlingskommun nära mindre tätort",14,38
"161","1419","Tjörn",7,"Pendlingskommun nära mindre tätort",14,45
"162","1473","Töreboda",7,"Pendlingskommun nära mindre tätort",14,30
"163","1470","Vara",7,"Pendlingskommun nära mindre tätort",14,63
"164","1442","Vårgårda",7,"Pendlingskommun nära mindre tätort",14,39
"165","1439","Färgelanda",4,"Pendlingskommun nära större stad",14,24
"166","1444","Grästorp",4,"Pendlingskommun nära större stad",14,17
"167","1463","Mark",4,"Pendlingskommun nära större stad",14,91
"168","1465","Svenljunga",4,"Pendlingskommun nära större stad",14,40
"169","1487","Vänersborg",4,"Pendlingskommun nära större stad",14,128
"170","1440","Ale",2,"Pendlingskommun nära storstad",14,119
"171","1489","Alingsås",2,"Pendlingskommun nära storstad",14,78
"172","1443","Bollebygd",2,"Pendlingskommun nära storstad",14,45
"173","1401","Härryda",2,"Pendlingskommun nära storstad",14,136
"174","1482","Kungälv",2,"Pendlingskommun nära storstad",14,117
"175","1441","Lerum",2,"Pendlingskommun nära storstad",14,128
"176","1462","Lilla Edet",2,"Pendlingskommun nära storstad",14,82
"177","1481","Mölndal",2,"Pendlingskommun nära storstad",14,153
"178","1407","Öckerö",2,"Pendlingskommun nära storstad",14,18
"179","1402","Partille",2,"Pendlingskommun nära storstad",14,118
"180","1415","Stenungsund",2,"Pendlingskommun nära storstad",14,63
"181","1490","Borås",3,"Större stad",14,415
"182","1488","Trollhättan",3,"Större stad",14,252
"183","1480","Göteborg",1,"Storstäder",14,1829
